Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Average Spend on Apparel ($/year),Type of Apparel Purchased,Primary Apparel Purchase Channel
233767,Male,31,4.7,Build muscle,842.47,Performance,Physical Retailer
748663,Male,30,6.2,Build muscle,784.69,Outerwear,E-commerce Retailer
803550,Female,41,3.4,General health,787.79,Leisure,Physical Retailer
236330,Male,21,5.8999999999999995,Build muscle,875.16,Outerwear,Physical Retailer
580754,Female,26,5.1,Build muscle,349.2,Leisure,E-commerce Retailer
401648,Male,31,8.3,Fat loss,817.5,Footwear,E-commerce Retailer
788519,Male,19,7.4,Build muscle,645.33,Performance,Physical Retailer
113986,Male,19,,Build muscle,723.03,Accessories,Brand Website
686146,Male,34,5.5,General health,1065.49,Footwear,Physical Retailer
229312,Male,21,5.3,General health,936.49,Footwear,E-commerce Retailer
112666,Female,32,,General health,726.24,Performance,Physical Retailer
400804,Male,34,5.3,General health,853.46,Performance,Physical Retailer
234633,Male,22,10.3,Fat loss,700.83,Performance,E-commerce Retailer
388998,Male,29,3.7,General health,769.91,Footwear,E-commerce Retailer
950937,Male,29,6.1000000000000005,Build muscle,788.31,Performance,Physical Retailer
728776,Male,25,4.0,Endurance training,882.44,Performance,Physical Retailer
807611,Female,27,3.9,Flexibility,394.67,Yoga,E-commerce Retailer
384806,Female,31,3.9000000000000004,Build muscle,508.37,Performance,Physical Retailer
894824,Male,26,4.9,Build muscle,587.09,,E-commerce Retailer
130535,Female,20,8.6,Fat loss,522.3,Footwear,Physical Retailer
475713,Female,29,5.5,Build muscle,556.8,Accessories,Physical Retailer
938688,Male,22,8.6,Build muscle,892.83,Performance,Physical Retailer
451279,Female,30,5.2,General health,565.76,Outerwear,Physical Retailer
921654,Other,21,,Flexibility,517.75,Performance,E-commerce Retailer
701661,Male,21,6.1,Fat loss,608.44,Performance,Physical Retailer
747972,Male,25,,Build muscle,637.52,Performance,Physical Retailer
589570,Female,34,4.7,Build muscle,582.16,Performance,Physical Retailer
556551,Female,31,5.2,General health,922.06,Yoga,Physical Retailer
373109,Male,22,9.1,Fat loss,674.57,Performance,Physical Retailer
124538,Female,18,8.0,Build muscle,238.34,Accessories,Physical Retailer
994498,Female,28,5.699999999999999,Fat loss,723.61,Footwear,Physical Retailer
301664,Female,29,6.0,Build muscle,669.31,Leisure,E-commerce Retailer
591234,Female,30,7.2,Fat loss,398.31,Footwear,E-commerce Retailer
999684,Female,33,3.9,General health,294.05,Performance,Physical Retailer
239182,Male,25,7.8,Fat loss,840.88,Footwear,Physical Retailer
572525,Male,31,7.1,Endurance training,954.57,Outerwear,Physical Retailer
258338,Female,25,5.300000000000001,Build muscle,102.51,Performance,Physical Retailer
284064,Female,32,5.8,General health,508.36,Yoga,E-commerce Retailer
314020,Male,31,4.5,Endurance training,843.76,Performance,Physical Retailer
723094,Female,21,7.4,Build muscle,504.79,Yoga,Physical Retailer
997421,Female,27,,Fat loss,501.88,Performance,Physical Retailer
715270,Male,31,4.2,Build muscle,808.28,Outerwear,Physical Retailer
745914,Female,39,5.3,General health,375.82,Performance,Brand Website
219176,Female,21,7.199999999999999,Fat loss,259.04,Footwear,Physical Retailer
318126,Female,28,5.5,Flexibility,810.51,,Brand Website
318969,Male,32,7.0,Build muscle,573.87,,E-commerce Retailer
222409,Male,33,3.1,General health,801.5,Accessories,E-commerce Retailer
647707,Female,25,4.3,Endurance training,777.32,Accessories,E-commerce Retailer
353618,Male,27,6.7,General health,753.35,Accessories,E-commerce Retailer
869598,Male,37,4.2,Build muscle,860.38,Accessories,Physical Retailer
150015,Male,29,6.8999999999999995,Fat loss,900.42,Footwear,E-commerce Retailer
872838,Male,32,6.9,General health,783.18,Outerwear,Brand Website
222096,Male,18,9.100000000000001,Build muscle,513.0,Leisure,Brand Website
731347,Male,20,6.8,Build muscle,655.24,Performance,E-commerce Retailer
285340,Male,36,5.7,Fat loss,934.47,Footwear,Brand Website
210687,Male,18,8.7,Fat loss,388.94,Footwear,E-commerce Retailer
974371,Female,23,7.2,Build muscle,419.97,Performance,Physical Retailer
511357,Female,25,5.3999999999999995,Build muscle,517.31,Yoga,E-commerce Retailer
835716,Male,33,4.5,Build muscle,997.43,Performance,Physical Retailer
205878,Female,21,5.8,General health,562.28,Performance,Physical Retailer
827270,Male,28,3.6,Endurance training,490.79,Footwear,Brand Website
298286,Female,24,8.3,General health,294.05,Leisure,E-commerce Retailer
873290,Female,18,5.7,Flexibility,301.15,Yoga,Brand Website
874684,Other,31,7.4,Fat loss,215.72,Footwear,Physical Retailer
264899,Female,25,,Build muscle,501.69,Performance,Physical Retailer
424767,Female,32,5.8,Build muscle,474.59,Performance,Brand Website
961882,Female,21,5.7,Build muscle,246.39,Performance,Physical Retailer
979858,Male,22,6.5,Flexibility,677.11,Accessories,Brand Website
479989,Male,24,6.3,Fat loss,943.31,Accessories,E-commerce Retailer
515515,Female,42,5.9,Build muscle,730.7,Performance,Physical Retailer
143585,Male,26,6.8,Build muscle,665.93,Outerwear,Physical Retailer
471369,Female,30,6.7,Fat loss,573.48,Accessories,Physical Retailer
164044,Male,25,3.6,Endurance training,576.46,Performance,Physical Retailer
542296,Male,32,6.0,Build muscle,821.96,Outerwear,Physical Retailer
209556,Male,29,6.5,Flexibility,974.23,Footwear,E-commerce Retailer
626981,Male,33,5.5,Fat loss,772.27,Outerwear,Brand Website
981691,Female,20,,Build muscle,432.33,Performance,Brand Website
867595,Male,22,,General health,925.99,Performance,Physical Retailer
300235,Male,34,6.7,Build muscle,1052.86,Leisure,Physical Retailer
125939,Male,31,4.0,Flexibility,703.06,Yoga,Physical Retailer
252906,Male,32,5.6,Flexibility,728.22,Accessories,Physical Retailer
642335,Female,25,5.5,General health,378.65,Outerwear,E-commerce Retailer
388249,Male,32,4.8,General health,1043.28,Performance,Brand Website
175766,Female,24,8.6,Build muscle,447.31,Performance,Physical Retailer
508923,Female,28,4.3,Flexibility,676.69,Performance,Physical Retailer
515192,Female,31,6.4,Fat loss,401.78,Performance,Physical Retailer
668550,Female,20,6.5,General health,865.96,Leisure,E-commerce Retailer
487261,Female,21,6.5,Flexibility,264.88,Yoga,Physical Retailer
910208,Other,38,5.9,Flexibility,924.59,Yoga,E-commerce Retailer
785440,Male,31,,General health,949.16,Performance,Physical Retailer
752664,Male,28,6.4,Build muscle,879.21,Performance,Brand Website
554589,Male,24,4.7,Flexibility,684.73,Yoga,Brand Website
237848,Male,25,5.1,Endurance training,807.36,Performance,Physical Retailer
717075,Female,25,4.5,Flexibility,504.92,Outerwear,Physical Retailer
227948,Female,25,7.1,Endurance training,432.83,Accessories,Brand Website
679304,Male,26,6.2,Build muscle,760.66,,Physical Retailer
502690,Male,22,7.5,Build muscle,734.64,Performance,Physical Retailer
599046,Male,25,7.8,Fat loss,795.07,Yoga,Brand Website
551269,Female,23,5.9,General health,214.89,Yoga,Physical Retailer
121959,Female,29,6.2,Build muscle,898.74,Performance,E-commerce Retailer
760890,Male,35,6.7,Fat loss,888.66,Leisure,Physical Retailer
850216,Female,26,6.4,Build muscle,446.71,Performance,E-commerce Retailer
890180,Female,21,5.7,General health,413.38,Accessories,Physical Retailer
328576,Male,25,5.8,Fat loss,860.11,Performance,Physical Retailer
637833,Female,21,6.6,Build muscle,550.62,Performance,Physical Retailer
265838,Female,28,5.5,Build muscle,214.8,Performance,Physical Retailer
435674,Male,25,3.7,Build muscle,777.77,Performance,Physical Retailer
979989,Male,32,6.0,Fat loss,875.79,Footwear,Physical Retailer
161087,Male,33,6.7,Build muscle,744.95,Performance,Physical Retailer
693128,Male,31,6.5,Build muscle,741.44,Outerwear,Brand Website
218451,Female,20,6.5,Flexibility,399.8,Yoga,E-commerce Retailer
547600,Female,20,5.6,General health,806.64,Performance,Physical Retailer
937437,Male,19,8.2,Fat loss,685.91,Performance,Physical Retailer
539792,Male,33,3.7,Flexibility,885.64,Performance,Physical Retailer
139353,Male,24,7.1,Build muscle,817.75,Performance,E-commerce Retailer
293075,Male,36,5.3,Endurance training,858.73,,Physical Retailer
314283,Female,35,,Endurance training,507.45,Outerwear,Physical Retailer
414877,Male,24,8.3,Fat loss,978.45,Footwear,E-commerce Retailer
165318,Male,27,4.699999999999999,Build muscle,851.84,Performance,E-commerce Retailer
865313,Male,19,5.8,Fat loss,790.69,Footwear,Brand Website
582690,Female,30,8.5,Fat loss,431.34,Yoga,Brand Website
516880,Male,35,5.0,General health,834.99,Leisure,E-commerce Retailer
691460,Female,22,5.3999999999999995,Build muscle,639.54,Accessories,E-commerce Retailer
840976,Male,26,5.3,Build muscle,847.1,Performance,Physical Retailer
881239,Female,33,5.3,Build muscle,685.67,Performance,Physical Retailer
193264,Female,19,8.3,Build muscle,678.37,Outerwear,Physical Retailer
870746,Male,21,6.5,Fat loss,712.0,Accessories,Physical Retailer
913168,Male,18,6.0,Build muscle,687.32,Performance,Physical Retailer
325281,Female,34,5.5,General health,465.52,Performance,Brand Website
737147,Female,25,7.4,Build muscle,667.3,Performance,E-commerce Retailer
998613,Male,31,5.8,Build muscle,668.04,,E-commerce Retailer
494070,Male,23,,Endurance training,773.86,Performance,Physical Retailer
452228,Female,29,,Build muscle,990.61,Leisure,Physical Retailer
531839,Female,25,5.4,Endurance training,401.03,Outerwear,Brand Website
369536,Male,22,7.4,Endurance training,446.64,Accessories,Physical Retailer
417824,Female,20,6.0,Build muscle,458.0,Leisure,Physical Retailer
357426,Male,32,6.1,Build muscle,962.97,Accessories,Physical Retailer
277789,Female,20,6.9,Build muscle,387.39,Performance,Physical Retailer
613153,Male,30,7.6,Build muscle,1086.12,Performance,Physical Retailer
842452,Male,28,6.3,Build muscle,653.4,Performance,E-commerce Retailer
937291,Male,27,4.0,Build muscle,1083.14,Performance,Brand Website
225657,Female,26,4.9,Build muscle,246.32,Accessories,Physical Retailer
335167,Male,20,6.1000000000000005,Fat loss,835.81,Yoga,E-commerce Retailer
781669,Male,23,5.1,Endurance training,608.92,Performance,Physical Retailer
580671,Male,28,7.9,Fat loss,802.2,Accessories,Physical Retailer
819094,Male,33,3.8000000000000003,Build muscle,857.92,Performance,Physical Retailer
170467,Other,22,6.5,Build muscle,614.11,Performance,E-commerce Retailer
283734,Male,28,4.9,General health,907.08,Outerwear,Brand Website
722794,Female,24,6.3999999999999995,Fat loss,984.7,Yoga,Physical Retailer
209751,Female,27,6.3,General health,409.39,Leisure,Brand Website
481050,Male,23,5.0,Build muscle,714.98,Performance,Brand Website
911774,Male,23,6.4,Endurance training,921.64,Accessories,Physical Retailer
792517,Male,28,7.1,Fat loss,701.94,Outerwear,Brand Website
561079,Male,23,7.2,Build muscle,937.31,Outerwear,E-commerce Retailer
468452,Male,27,7.6,Fat loss,983.41,Footwear,E-commerce Retailer
206081,Male,27,6.3,Fat loss,549.69,Performance,Physical Retailer
713333,Female,34,6.7,Build muscle,507.23,Leisure,Physical Retailer
658986,Male,39,7.0,Build muscle,1109.06,Performance,Physical Retailer
210078,Male,30,5.7,General health,837.8,Leisure,E-commerce Retailer
967055,Female,35,4.3,Flexibility,518.78,Leisure,Physical Retailer
122671,Male,20,9.5,Build muscle,955.55,Performance,Brand Website
518400,Female,21,,Build muscle,277.05,Footwear,E-commerce Retailer
455528,Female,38,7.1,Build muscle,310.9,Performance,E-commerce Retailer
710490,Male,32,7.2,Endurance training,602.87,Footwear,Physical Retailer
151663,Female,30,5.2,Build muscle,440.51,,E-commerce Retailer
115708,Male,23,5.5,Flexibility,874.72,Yoga,E-commerce Retailer
978338,Male,43,5.8,Build muscle,877.42,Performance,Physical Retailer
411955,Male,23,,Build muscle,959.81,Accessories,Physical Retailer
233883,Male,25,5.7,Endurance training,683.78,Footwear,E-commerce Retailer
418394,Female,23,5.8,General health,538.06,Accessories,Physical Retailer
212547,Male,26,7.4,Fat loss,1084.33,Performance,Physical Retailer
659042,Male,29,7.5,Fat loss,777.45,Footwear,Brand Website
851102,Male,26,4.3,Flexibility,830.01,Leisure,E-commerce Retailer
862002,Female,28,7.2,Build muscle,562.53,Outerwear,E-commerce Retailer
242483,Male,33,6.6,General health,676.75,,Brand Website
758271,Female,23,7.4,Build muscle,557.55,Performance,E-commerce Retailer
314835,Male,26,5.7,General health,720.84,Accessories,E-commerce Retailer
501896,Female,25,4.6,Endurance training,604.24,Performance,E-commerce Retailer
184896,Other,23,8.7,Build muscle,686.29,Performance,Brand Website
577095,Female,23,,General health,615.52,Performance,Physical Retailer
171295,Female,27,7.8,Build muscle,879.35,Leisure,Physical Retailer
843974,Male,28,6.1,Build muscle,654.78,Accessories,Physical Retailer
987121,Female,30,8.3,Fat loss,606.21,Footwear,Physical Retailer
373255,Male,26,6.1,Build muscle,698.99,Performance,E-commerce Retailer
399648,Male,21,6.4,Endurance training,933.17,Outerwear,Physical Retailer
757162,Male,30,6.5,Build muscle,1009.77,Accessories,E-commerce Retailer
108155,Female,30,6.2,Build muscle,721.85,Footwear,Brand Website
566872,Male,33,6.2,Build muscle,767.69,Accessories,Physical Retailer
925816,Female,34,5.6,Build muscle,664.96,Outerwear,Brand Website
474705,Female,30,6.0,Fat loss,695.99,Yoga,Physical Retailer
671542,Female,30,4.6,General health,398.56,Performance,Physical Retailer
908350,Female,28,3.5,Flexibility,633.65,Accessories,E-commerce Retailer
710269,Female,35,4.6,General health,167.74,Performance,Physical Retailer
654594,Other,24,6.8,Build muscle,948.92,Performance,Physical Retailer
247718,Female,26,6.1,Fat loss,732.07,Outerwear,Physical Retailer
408987,Female,29,6.7,Build muscle,749.51,Accessories,Brand Website
745263,Other,28,5.5,Build muscle,580.86,Outerwear,Brand Website
458745,Female,20,7.199999999999999,Fat loss,661.81,Performance,Physical Retailer
207512,Male,21,5.5,Build muscle,813.1,Performance,Physical Retailer
247443,Male,29,5.800000000000001,Build muscle,690.38,Footwear,E-commerce Retailer
570587,Male,27,7.0,Flexibility,836.79,Yoga,Physical Retailer
473616,Male,30,6.9,Fat loss,613.62,Leisure,E-commerce Retailer
757409,Female,26,6.5,Fat loss,822.18,Footwear,Physical Retailer
786976,Female,25,7.0,Build muscle,299.84,Performance,E-commerce Retailer
465871,Female,32,,Build muscle,535.38,Accessories,Physical Retailer
475037,Male,26,4.7,General health,880.73,Outerwear,Physical Retailer
907364,Female,18,6.6,Build muscle,795.04,Performance,Physical Retailer
217796,Female,33,4.9,Fat loss,673.85,Accessories,E-commerce Retailer
391999,Female,18,7.4,Build muscle,298.83,Performance,Physical Retailer
292506,Female,34,6.800000000000001,Fat loss,590.02,Footwear,Physical Retailer
798376,Female,22,6.1,Build muscle,482.02,Performance,Physical Retailer
369544,Male,26,4.9,General health,715.2,Performance,Physical Retailer
480002,Female,31,4.8,General health,438.13,Footwear,Physical Retailer
798002,Male,34,4.4,General health,886.3,Accessories,Brand Website
639439,Male,25,5.2,Build muscle,944.09,Performance,Physical Retailer
690978,Female,25,4.6,General health,844.36,Footwear,Physical Retailer
628787,Male,27,6.8,Fat loss,774.23,Footwear,Brand Website
630583,Female,29,6.3999999999999995,Build muscle,631.43,Performance,Physical Retailer
488215,Male,24,5.4,Endurance training,1152.37,Leisure,Brand Website
421184,Female,25,5.4,Build muscle,386.51,Performance,E-commerce Retailer
898615,Male,25,6.3,Build muscle,661.73,,Physical Retailer
522515,Other,28,6.6,General health,451.34,Leisure,E-commerce Retailer
768234,Female,33,5.3,Build muscle,455.37,Performance,Physical Retailer
478480,Male,33,5.199999999999999,Fat loss,779.7,Accessories,E-commerce Retailer
132711,Female,28,5.5,Build muscle,440.86,Performance,Physical Retailer
891971,Other,27,3.8,General health,832.53,Footwear,Physical Retailer
601157,Male,19,7.2,Flexibility,1071.73,Accessories,Physical Retailer
284423,Male,36,5.4,General health,886.86,Leisure,E-commerce Retailer
616349,Male,25,6.2,Build muscle,426.33,,Physical Retailer
803714,Male,21,6.5,Build muscle,982.51,Outerwear,Physical Retailer
757917,Female,25,5.1,Fat loss,556.4,Footwear,Brand Website
924792,Female,27,7.3999999999999995,Build muscle,593.75,Performance,Physical Retailer
837378,Male,18,7.7,Build muscle,907.59,Leisure,Physical Retailer
233272,Male,21,,Fat loss,671.09,Accessories,Brand Website
867836,Female,27,7.2,Fat loss,727.38,Footwear,Physical Retailer
802335,Male,23,7.4,Flexibility,1024.78,Yoga,Physical Retailer
907789,Male,25,7.8999999999999995,Build muscle,759.24,Performance,E-commerce Retailer
743409,Female,30,6.6,Build muscle,727.98,Outerwear,Brand Website
177505,Female,27,4.5,Build muscle,743.05,Performance,Physical Retailer
102869,Female,23,6.6,Flexibility,521.33,Performance,E-commerce Retailer
881474,Female,28,4.3,General health,282.56,,Physical Retailer
554351,Male,21,4.9,General health,802.15,Accessories,Physical Retailer
412252,Female,22,6.2,Flexibility,724.71,Leisure,E-commerce Retailer
736584,Male,31,6.6,Fat loss,956.76,Footwear,Physical Retailer
718467,Male,24,8.5,Fat loss,818.12,Footwear,Physical Retailer
190272,Male,26,7.4,Build muscle,687.5,Leisure,E-commerce Retailer
138467,Male,21,5.7,Fat loss,973.25,Performance,E-commerce Retailer
909760,Female,20,,Fat loss,871.16,Performance,Physical Retailer
977844,Male,28,7.5,Fat loss,800.44,Footwear,Brand Website
580047,Male,26,5.9,Flexibility,826.69,Yoga,Physical Retailer
759347,Male,31,4.1,Flexibility,639.4,Yoga,Brand Website
158871,Male,26,6.5,General health,720.85,Outerwear,Brand Website
228391,Female,27,5.4,General health,355.12,Performance,Physical Retailer
539430,Male,31,4.4,Endurance training,770.8,Footwear,E-commerce Retailer
710704,Female,24,8.0,Build muscle,946.81,Performance,E-commerce Retailer
956703,Male,27,6.6,Build muscle,832.61,Accessories,Physical Retailer
930496,Female,26,6.5,Endurance training,621.55,,Physical Retailer
356687,Female,36,6.8,General health,550.02,Leisure,Brand Website
825451,Male,26,6.0,Build muscle,958.44,Footwear,Physical Retailer
207450,Female,29,6.3,Flexibility,656.05,Yoga,Brand Website
271890,Male,32,7.7,Build muscle,802.01,,E-commerce Retailer
538741,Male,24,7.9,Build muscle,798.01,Outerwear,Brand Website
381974,Other,24,6.0,Endurance training,498.14,Performance,E-commerce Retailer
500109,Male,22,8.3,Build muscle,876.04,Accessories,Physical Retailer
216381,Male,27,6.0,Build muscle,793.97,Performance,Physical Retailer
573125,Female,29,5.6,Build muscle,477.52,Performance,Brand Website
671621,Male,24,5.4,General health,965.97,,Physical Retailer
234508,Female,27,7.1,Fat loss,1005.36,Yoga,E-commerce Retailer
829650,Male,24,4.5,Endurance training,736.63,Performance,E-commerce Retailer
962645,Female,18,7.5,Fat loss,433.99,Outerwear,Physical Retailer
499111,Female,37,7.1,Build muscle,543.63,Performance,Physical Retailer
250810,Female,30,5.6,Flexibility,472.62,Accessories,Physical Retailer
392890,Female,25,6.2,Build muscle,908.51,Outerwear,E-commerce Retailer
673665,Male,23,4.8,Flexibility,826.91,Leisure,E-commerce Retailer
940477,Other,28,7.4,Fat loss,667.25,Performance,Physical Retailer
460032,Male,28,5.0,Flexibility,747.61,,Physical Retailer
469599,Male,34,8.4,Build muscle,1042.48,Accessories,Physical Retailer
760960,Male,23,8.3,Fat loss,701.1,Footwear,Physical Retailer
850020,Male,21,6.3,Build muscle,752.25,Leisure,Brand Website
979611,Male,30,7.1000000000000005,Build muscle,718.76,Accessories,Physical Retailer
271836,Female,34,6.0,Endurance training,405.57,,E-commerce Retailer
