Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Gym Membership Length (years),Calorie Intake
554589,Male,24,4.7,Flexibility,0,2072.0
237848,Male,25,5.1,Endurance training,4,2114.0
717075,Female,25,4.5,Flexibility,1,1959.0
227948,Female,25,7.1,Endurance training,6,2319.0
679304,Male,26,6.2,Build muscle,4,2807.0
502690,Male,22,7.5,Build muscle,1,2919.0
599046,Male,25,7.8,Fat loss,5,1950.0
551269,Female,23,5.9,General health,1,2124.0
121959,Female,29,6.2,Build muscle,3,2566.0
760890,Male,35,6.7,Fat loss,1,1748.0
850216,Female,26,6.4,Build muscle,4,2674.0
890180,Female,21,5.7,General health,1,2313.0
328576,Male,25,5.8,Fat loss,1,1671.0
637833,Female,21,6.6,Build muscle,1,
265838,Female,28,5.5,Build muscle,3,2947.0
435674,Male,25,3.7,Build muscle,0,2964.0
979989,Male,32,6.0,Fat loss,1,1833.0
161087,Male,33,6.7,Build muscle,4,2783.0
693128,Male,31,6.5,Build muscle,4,2974.0
218451,Female,20,6.5,Flexibility,1,1553.0
547600,Female,20,5.6,General health,1,2257.0
937437,Male,19,8.2,Fat loss,3,1566.0
539792,Male,33,3.7,Flexibility,1,1919.0
139353,Male,24,7.1,Build muscle,1,2601.0
293075,Male,36,5.3,Endurance training,3,2119.0
314283,Female,35,,Endurance training,1,2190.0
414877,Male,24,8.3,Fat loss,5,
165318,Male,27,4.699999999999999,Build muscle,0,2969.0
865313,Male,19,5.8,Fat loss,1,1803.0
582690,Female,30,8.5,Fat loss,4,1922.0
516880,Male,35,5.0,General health,3,2358.0
691460,Female,22,5.3999999999999995,Build muscle,1,2721.0
840976,Male,26,5.3,Build muscle,1,2520.0
881239,Female,33,5.3,Build muscle,2,2657.0
193264,Female,19,8.3,Build muscle,4,2847.0
870746,Male,21,6.5,Fat loss,1,1658.0
913168,Male,18,6.0,Build muscle,1,2876.0
325281,Female,34,5.5,General health,4,2034.0
737147,Female,25,7.4,Build muscle,4,2649.0
998613,Male,31,5.8,Build muscle,2,2904.0
494070,Male,23,,Endurance training,0,2256.0
452228,Female,29,,Build muscle,4,2664.0
531839,Female,25,5.4,Endurance training,4,2076.0
369536,Male,22,7.4,Endurance training,4,2084.0
417824,Female,20,6.0,Build muscle,1,2545.0
357426,Male,32,6.1,Build muscle,3,2892.0
277789,Female,20,6.9,Build muscle,4,2900.0
613153,Male,30,7.6,Build muscle,5,2546.0
842452,Male,28,6.3,Build muscle,4,2712.0
937291,Male,27,4.0,Build muscle,0,2978.0
225657,Female,26,4.9,Build muscle,2,2986.0
335167,Male,20,6.1000000000000005,Fat loss,1,1558.0
781669,Male,23,5.1,Endurance training,1,2053.0
580671,Male,28,7.9,Fat loss,6,1841.0
819094,Male,33,3.8000000000000003,Build muscle,0,
170467,Other,22,6.5,Build muscle,1,2691.0
283734,Male,28,4.9,General health,1,2302.0
722794,Female,24,6.3999999999999995,Fat loss,0,1505.0
209751,Female,27,6.3,General health,4,1943.0
481050,Male,23,5.0,Build muscle,0,2845.0
911774,Male,23,6.4,Endurance training,3,2260.0
792517,Male,28,7.1,Fat loss,4,1572.0
561079,Male,23,7.2,Build muscle,1,2673.0
468452,Male,27,7.6,Fat loss,4,1731.0
206081,Male,27,6.3,Fat loss,3,
713333,Female,34,6.7,Build muscle,4,2927.0
658986,Male,39,7.0,Build muscle,3,2946.0
210078,Male,30,5.7,General health,4,2021.0
967055,Female,35,4.3,Flexibility,1,
122671,Male,20,9.5,Build muscle,6,2615.0
518400,Female,21,,Build muscle,4,2525.0
455528,Female,38,7.1,Build muscle,4,2552.0
710490,Male,32,7.2,Endurance training,5,2364.0
151663,Female,30,5.2,Build muscle,1,2528.0
115708,Male,23,5.5,Flexibility,1,1518.0
978338,Male,43,5.8,Build muscle,4,2802.0
411955,Male,23,,Build muscle,0,2891.0
233883,Male,25,5.7,Endurance training,4,2278.0
418394,Female,23,5.8,General health,3,2428.0
212547,Male,26,7.4,Fat loss,4,1605.0
659042,Male,29,7.5,Fat loss,4,1918.0
851102,Male,26,4.3,Flexibility,1,1808.0
862002,Female,28,7.2,Build muscle,3,2726.0
242483,Male,33,6.6,General health,4,1985.0
758271,Female,23,7.4,Build muscle,5,
314835,Male,26,5.7,General health,4,2327.0
501896,Female,25,4.6,Endurance training,1,2272.0
184896,Other,23,8.7,Build muscle,5,2659.0
577095,Female,23,,General health,3,2023.0
171295,Female,27,7.8,Build muscle,5,2755.0
843974,Male,28,6.1,Build muscle,2,2679.0
987121,Female,30,8.3,Fat loss,5,1519.0
373255,Male,26,6.1,Build muscle,4,2611.0
399648,Male,21,6.4,Endurance training,1,2119.0
757162,Male,30,6.5,Build muscle,4,2693.0
108155,Female,30,6.2,Build muscle,2,2967.0
566872,Male,33,6.2,Build muscle,1,2610.0
925816,Female,34,5.6,Build muscle,4,2709.0
474705,Female,30,6.0,Fat loss,0,1500.0
671542,Female,30,4.6,General health,2,
908350,Female,28,3.5,Flexibility,0,1592.0
710269,Female,35,4.6,General health,0,2020.0
654594,Other,24,6.8,Build muscle,4,2710.0
247718,Female,26,6.1,Fat loss,1,1927.0
408987,Female,29,6.7,Build muscle,3,2731.0
745263,Other,28,5.5,Build muscle,1,2761.0
458745,Female,20,7.199999999999999,Fat loss,1,1863.0
207512,Male,21,5.5,Build muscle,1,2602.0
247443,Male,29,5.800000000000001,Build muscle,4,2549.0
570587,Male,27,7.0,Flexibility,6,1873.0
473616,Male,30,6.9,Fat loss,1,1609.0
757409,Female,26,6.5,Fat loss,1,1955.0
786976,Female,25,7.0,Build muscle,5,2587.0
465871,Female,32,,Build muscle,3,2519.0
475037,Male,26,4.7,General health,1,1813.0
907364,Female,18,6.6,Build muscle,0,2632.0
217796,Female,33,4.9,Fat loss,0,1924.0
391999,Female,18,7.4,Build muscle,4,2795.0
292506,Female,34,6.800000000000001,Fat loss,1,1533.0
798376,Female,22,6.1,Build muscle,1,2879.0
369544,Male,26,4.9,General health,2,2007.0
480002,Female,31,4.8,General health,1,1998.0
798002,Male,34,4.4,General health,1,2391.0
639439,Male,25,5.2,Build muscle,2,2570.0
690978,Female,25,4.6,General health,1,1954.0
628787,Male,27,6.8,Fat loss,1,1577.0
630583,Female,29,6.3999999999999995,Build muscle,3,2577.0
488215,Male,24,5.4,Endurance training,0,2171.0
421184,Female,25,5.4,Build muscle,1,2788.0
898615,Male,25,6.3,Build muscle,2,2532.0
522515,Other,28,6.6,General health,4,2219.0
768234,Female,33,5.3,Build muscle,3,2506.0
478480,Male,33,5.199999999999999,Fat loss,0,1659.0
132711,Female,28,5.5,Build muscle,1,2739.0
891971,Other,27,3.8,General health,1,2222.0
601157,Male,19,7.2,Flexibility,4,2035.0
284423,Male,36,5.4,General health,2,1869.0
616349,Male,25,6.2,Build muscle,1,2867.0
803714,Male,21,6.5,Build muscle,1,2715.0
757917,Female,25,5.1,Fat loss,2,1603.0
924792,Female,27,7.3999999999999995,Build muscle,5,
837378,Male,18,7.7,Build muscle,4,2553.0
233272,Male,21,,Fat loss,1,1793.0
867836,Female,27,7.2,Fat loss,4,1829.0
802335,Male,23,7.4,Flexibility,4,1702.0
907789,Male,25,7.8999999999999995,Build muscle,5,
743409,Female,30,6.6,Build muscle,2,2544.0
177505,Female,27,4.5,Build muscle,1,2816.0
102869,Female,23,6.6,Flexibility,4,1697.0
881474,Female,28,4.3,General health,0,2015.0
554351,Male,21,4.9,General health,1,2280.0
412252,Female,22,6.2,Flexibility,2,1808.0
736584,Male,31,6.6,Fat loss,1,1883.0
718467,Male,24,8.5,Fat loss,4,1934.0
190272,Male,26,7.4,Build muscle,5,2831.0
138467,Male,21,5.7,Fat loss,0,
909760,Female,20,,Fat loss,3,1526.0
977844,Male,28,7.5,Fat loss,5,1665.0
580047,Male,26,5.9,Flexibility,4,1817.0
759347,Male,31,4.1,Flexibility,1,1773.0
158871,Male,26,6.5,General health,4,2182.0
228391,Female,27,5.4,General health,1,2164.0
539430,Male,31,4.4,Endurance training,1,2102.0
710704,Female,24,8.0,Build muscle,3,2947.0
956703,Male,27,6.6,Build muscle,5,2832.0
930496,Female,26,6.5,Endurance training,5,2372.0
356687,Female,36,6.8,General health,5,2415.0
825451,Male,26,6.0,Build muscle,1,2913.0
207450,Female,29,6.3,Flexibility,3,1744.0
271890,Male,32,7.7,Build muscle,5,2804.0
538741,Male,24,7.9,Build muscle,4,
381974,Other,24,6.0,Endurance training,0,2115.0
500109,Male,22,8.3,Build muscle,5,2640.0
216381,Male,27,6.0,Build muscle,3,2917.0
573125,Female,29,5.6,Build muscle,4,2855.0
671621,Male,24,5.4,General health,1,2277.0
234508,Female,27,7.1,Fat loss,4,1624.0
829650,Male,24,4.5,Endurance training,0,2024.0
962645,Female,18,7.5,Fat loss,3,1693.0
499111,Female,37,7.1,Build muscle,5,2883.0
250810,Female,30,5.6,Flexibility,4,2111.0
392890,Female,25,6.2,Build muscle,3,2901.0
673665,Male,23,4.8,Flexibility,1,2016.0
940477,Other,28,7.4,Fat loss,5,1518.0
460032,Male,28,5.0,Flexibility,1,2181.0
469599,Male,34,8.4,Build muscle,6,2773.0
760960,Male,23,8.3,Fat loss,3,1753.0
850020,Male,21,6.3,Build muscle,1,2620.0
979611,Male,30,7.1000000000000005,Build muscle,4,2531.0
271836,Female,34,6.0,Endurance training,4,2148.0
829903,Female,24,7.3,Build muscle,4,2765.0
145714,Other,23,8.0,Fat loss,2,1536.0
727234,Male,28,7.4,Build muscle,4,2676.0
996048,Female,28,6.8,Build muscle,3,2841.0
730271,Male,26,4.8,General health,0,1812.0
566960,Male,22,9.6,Fat loss,6,1682.0
811851,Male,34,5.7,Endurance training,3,2144.0
224123,Male,33,5.0,Endurance training,1,2264.0
405628,Female,29,5.4,General health,1,1887.0
182989,Female,26,3.6,Build muscle,0,2927.0
398356,Male,24,7.9,Endurance training,4,2461.0
929957,Male,28,4.6,Flexibility,1,1545.0
278274,Male,36,4.7,General health,1,2191.0
787995,Male,25,7.1,Fat loss,4,1618.0
425352,Other,34,7.0,Endurance training,5,2420.0
920260,Male,31,5.5,General health,2,2330.0
511927,Male,25,5.6,Endurance training,4,2446.0
889852,Male,22,6.0,Build muscle,1,2719.0
983184,Female,30,4.5,Build muscle,1,2929.0
231373,Other,35,4.0,General health,1,
538452,Female,26,7.2,Build muscle,4,2954.0
215294,Female,37,4.9,General health,1,1845.0
559451,Male,20,6.1,Build muscle,1,2873.0
748307,Male,34,7.5,Fat loss,5,1545.0
165726,Other,26,6.9,Build muscle,2,2958.0
241564,Female,37,,Build muscle,3,2513.0
477812,Female,20,4.6,Flexibility,1,2096.0
368246,Female,28,5.1,General health,4,1802.0
805696,Female,33,5.6,Endurance training,3,2027.0
218015,Female,20,8.0,Fat loss,2,1880.0
840674,Other,34,7.2,Endurance training,5,2156.0
354079,Female,23,6.1,Endurance training,4,2342.0
650929,Female,23,7.4,Fat loss,3,1901.0
789944,Female,19,7.4,Build muscle,4,2918.0
788105,Male,25,5.9,Endurance training,2,2332.0
613758,Female,27,5.9,General health,5,2486.0
465890,Male,29,6.3,Flexibility,3,1613.0
545101,Female,22,,Build muscle,3,2888.0
136631,Other,26,4.6,General health,1,2286.0
866577,Female,25,7.4,Fat loss,3,1830.0
172991,Male,31,8.9,Fat loss,5,1749.0
104014,Male,32,4.3,Build muscle,1,2558.0
373237,Male,37,7.199999999999999,Fat loss,3,1702.0
118070,Female,18,7.8999999999999995,Build muscle,4,2814.0
922209,Male,26,5.8,Build muscle,4,2738.0
156958,Male,18,7.6,General health,4,2033.0
182074,Male,30,3.7,General health,1,2102.0
635017,Female,32,8.7,Fat loss,5,1594.0
855073,Female,19,4.9,Flexibility,1,2152.0
276089,Male,23,6.8,Build muscle,2,2833.0
297392,Male,33,4.8,Build muscle,0,2612.0
258823,Male,38,5.0,Endurance training,1,2108.0
730152,Female,31,6.3,Build muscle,4,2861.0
493002,Female,35,,Build muscle,1,2844.0
833429,Male,31,7.2,Build muscle,4,2788.0
598863,Female,23,6.3999999999999995,Build muscle,1,2596.0
467654,Male,28,4.9,General health,1,1815.0
679036,Female,25,6.5,Build muscle,5,2543.0
630089,Male,21,8.2,Fat loss,4,1941.0
250262,Male,24,7.4,Build muscle,4,2875.0
542905,Male,31,5.3,Endurance training,1,
335362,Female,29,4.7,Build muscle,1,2889.0
544209,Female,28,3.2,General health,0,
653880,Male,28,7.5,Fat loss,4,1716.0
897079,Female,30,7.1,Build muscle,4,2898.0
764076,Female,33,6.5,Fat loss,3,1759.0
319963,Male,24,7.1000000000000005,Build muscle,4,2811.0
580761,Male,21,9.7,Fat loss,6,1819.0
348710,Female,29,5.7,Build muscle,3,2695.0
320984,Male,23,6.7,Flexibility,4,1977.0
997059,Male,29,6.3,Build muscle,5,2917.0
956748,Other,28,5.6,Endurance training,2,2474.0
882355,Male,22,9.1,Build muscle,5,2594.0
364512,Male,29,6.4,Build muscle,4,2555.0
701863,Male,33,7.8,Fat loss,4,1531.0
368799,Female,27,6.9,Flexibility,4,1730.0
337549,Male,21,6.7,Build muscle,2,2871.0
694319,Male,24,7.3,Build muscle,2,2508.0
584299,Male,28,5.5,Build muscle,1,2690.0
712210,Male,30,6.1,Build muscle,4,2860.0
548982,Male,37,7.2,Build muscle,4,2699.0
224046,Male,22,7.9,Fat loss,4,1833.0
506619,Female,26,4.9,Build muscle,2,2660.0
132097,Male,31,,Build muscle,5,2586.0
766326,Male,31,4.2,General health,2,1820.0
749150,Male,21,9.2,Build muscle,5,2810.0
330229,Male,28,,Build muscle,1,2575.0
218834,Male,27,7.300000000000001,Build muscle,4,2940.0
193848,Female,30,4.0,Endurance training,1,2385.0
152921,Male,25,5.1,Build muscle,3,2640.0
805086,Male,19,6.199999999999999,Fat loss,2,1625.0
750429,Male,27,7.0,Build muscle,5,2750.0
805660,Female,39,7.8,Fat loss,5,1887.0
384821,Female,22,7.9,Build muscle,2,2583.0
155609,Female,36,6.1,Endurance training,4,2433.0
327897,Male,22,7.2,General health,5,2170.0
131024,Female,31,4.3,Endurance training,1,2047.0
170313,Male,30,7.2,Build muscle,5,2878.0
489957,Male,25,5.3,Build muscle,1,2577.0
284078,Male,31,6.1000000000000005,Build muscle,1,2529.0
457429,Male,22,6.1,Build muscle,1,2784.0
561243,Other,29,5.6,Build muscle,3,2635.0
213632,Female,32,3.9,General health,1,1939.0
351451,Male,28,6.3999999999999995,Build muscle,2,2540.0
103051,Female,21,6.5,Fat loss,0,1985.0
804107,Other,32,7.800000000000001,Fat loss,4,1781.0
476836,Female,23,7.800000000000001,Fat loss,1,1549.0
711523,Female,35,5.4,Build muscle,2,2757.0
821772,Female,35,4.4,General health,1,2159.0
289407,Other,27,7.3999999999999995,Build muscle,4,2939.0
549395,Female,27,5.2,General health,1,
562894,Male,19,7.0,General health,4,1933.0
311810,Male,18,6.2,General health,4,2439.0
827975,Female,23,6.8,Fat loss,3,1603.0
173523,Male,28,5.300000000000001,Build muscle,0,2753.0
860463,Female,31,6.8,Build muscle,5,2594.0
194476,Male,39,4.8,Endurance training,2,2336.0
333841,Male,30,4.8999999999999995,Build muscle,1,2716.0
903451,Male,26,5.3,General health,4,2372.0
970045,Male,28,3.9,Build muscle,0,2979.0
322866,Other,24,5.4,Build muscle,1,2767.0
186672,Female,20,8.5,Build muscle,5,2740.0
698135,Female,25,7.0,Build muscle,3,
444894,Female,28,7.1,Fat loss,4,1646.0
834994,Male,23,6.0,General health,4,2400.0
128251,Male,28,,Endurance training,4,2094.0
727769,Female,29,4.1,General health,2,2092.0
474710,Male,24,6.4,General health,1,1824.0
650233,Male,26,7.3,General health,5,2071.0
977284,Male,33,,Build muscle,1,2665.0
132217,Male,31,6.3,General health,4,1886.0
108308,Other,25,5.1,Build muscle,1,2641.0
368093,Female,27,5.1,Build muscle,3,2633.0
283062,Male,18,5.4,Endurance training,1,2472.0
494366,Female,37,7.0,Build muscle,4,2778.0
844840,Female,28,4.6000000000000005,Build muscle,1,2625.0
200235,Male,28,5.6,Build muscle,3,2815.0
174740,Female,25,4.8,Build muscle,1,2990.0
478496,Female,22,5.3,Flexibility,2,1640.0
953049,Male,34,6.4,Build muscle,3,2855.0
850201,Male,22,7.6000000000000005,Build muscle,4,2602.0
903328,Male,31,8.4,Fat loss,4,1725.0
277247,Male,26,5.1,Build muscle,1,2889.0
763165,Male,32,5.3,Flexibility,1,2074.0
629525,Female,23,7.3,Build muscle,3,2793.0
120056,Male,25,7.3,Fat loss,4,1883.0
276615,Male,31,4.1,Endurance training,2,2305.0
287628,Female,21,8.0,Flexibility,4,1753.0
738836,Female,26,3.3,Endurance training,0,2179.0
473632,Male,27,,General health,1,1839.0
234415,Male,29,6.5,Build muscle,4,2763.0
506716,Male,25,5.5,Build muscle,0,2688.0
546438,Female,29,5.6,Build muscle,2,2507.0
653663,Male,28,4.5,General health,3,2415.0
765022,Male,30,4.8,Build muscle,1,2724.0
641252,Other,21,5.8,Build muscle,2,2533.0
737717,Male,19,6.1,Build muscle,1,2735.0
352764,Female,20,6.0,Build muscle,0,2962.0
814998,Other,33,4.7,Build muscle,1,2727.0
566882,Male,18,4.5,Flexibility,0,2199.0
840427,Female,20,9.6,Fat loss,4,1812.0
612153,Male,30,5.0,Endurance training,1,2482.0
167215,Female,20,4.8,General health,1,2229.0
955474,Female,30,7.5,Build muscle,4,2521.0
