Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Preferred Sports Drink Type,Average Weekly Consumption (Bottles)
723587,Female,26,4.9,Flexibility,Energy drinks,12
635822,Male,29,5.1,General health,Electrolyte,11
587879,Female,19,6.2,General health,Fresh juice,8
664685,Male,27,4.4,Flexibility,Protein shakes,7
882038,Female,32,4.0,Endurance training,Fresh juice,11
453531,Male,26,4.7,Build muscle,Protein shakes,9
363160,Male,33,,General health,Protein shakes,10
679879,Female,26,4.3,Endurance training,,12
320884,Other,27,6.1,Fat loss,Electrolyte,9
123247,Female,32,5.5,Build muscle,Protein shakes,9
124300,Female,23,7.5,General health,Fresh juice,12
567281,Female,40,3.7,Build muscle,Electrolyte,10
707086,Male,35,5.5,Flexibility,Fresh juice,7
633556,Other,20,7.2,Build muscle,Protein shakes,10
448951,Male,20,,Build muscle,Protein shakes,9
374329,Female,36,6.9,Fat loss,Protein shakes,7
819064,Female,29,6.6,Build muscle,,10
842139,Female,18,5.7,Endurance training,,9
532315,Male,28,4.6,Flexibility,Protein shakes,5
616588,Male,25,,General health,Fresh juice,7
336584,Female,25,6.6,Build muscle,,12
662332,Male,30,5.8999999999999995,Build muscle,,5
937646,Other,30,5.3,General health,Fresh juice,13
476896,Female,34,7.0,Flexibility,Fresh juice,11
148984,Male,28,8.8,Fat loss,Fresh juice,11
402918,Female,31,6.800000000000001,Fat loss,Electrolyte,5
364712,Male,21,7.1,Build muscle,,12
220151,Female,24,7.9,General health,Electrolyte,12
555808,Female,23,5.9,Endurance training,Fresh juice,7
233767,Male,31,4.7,Build muscle,Protein shakes,7
748663,Male,30,6.2,Build muscle,Protein shakes,10
803550,Female,41,3.4,General health,Electrolyte,10
236330,Male,21,5.8999999999999995,Build muscle,Protein shakes,10
580754,Female,26,5.1,Build muscle,Protein shakes,9
401648,Male,31,8.3,Fat loss,Protein shakes,13
788519,Male,19,7.4,Build muscle,Protein shakes,9
113986,Male,19,,Build muscle,Protein shakes,11
686146,Male,34,5.5,General health,Electrolyte,8
229312,Male,21,5.3,General health,Protein shakes,7
112666,Female,32,,General health,Electrolyte,10
400804,Male,34,5.3,General health,Protein shakes,8
234633,Male,22,10.3,Fat loss,Electrolyte,15
388998,Male,29,3.7,General health,Electrolyte,9
950937,Male,29,6.1000000000000005,Build muscle,Electrolyte,9
728776,Male,25,4.0,Endurance training,Fresh juice,7
807611,Female,27,3.9,Flexibility,Fresh juice,6
384806,Female,31,3.9000000000000004,Build muscle,Protein shakes,8
894824,Male,26,4.9,Build muscle,Protein shakes,8
130535,Female,20,8.6,Fat loss,Protein shakes,17
475713,Female,29,5.5,Build muscle,Fresh juice,12
938688,Male,22,8.6,Build muscle,Electrolyte,9
451279,Female,30,5.2,General health,Electrolyte,7
921654,Other,21,,Flexibility,Fresh juice,11
701661,Male,21,6.1,Fat loss,,9
747972,Male,25,,Build muscle,Electrolyte,11
589570,Female,34,4.7,Build muscle,Electrolyte,8
556551,Female,31,5.2,General health,Electrolyte,9
373109,Male,22,9.1,Fat loss,Fresh juice,12
124538,Female,18,8.0,Build muscle,Protein shakes,15
994498,Female,28,5.699999999999999,Fat loss,Fresh juice,9
301664,Female,29,6.0,Build muscle,Fresh juice,6
591234,Female,30,7.2,Fat loss,Protein shakes,10
999684,Female,33,3.9,General health,Electrolyte,9
239182,Male,25,7.8,Fat loss,Electrolyte,9
572525,Male,31,7.1,Endurance training,Protein shakes,10
258338,Female,25,5.300000000000001,Build muscle,Protein shakes,14
284064,Female,32,5.8,General health,Fresh juice,14
314020,Male,31,4.5,Endurance training,Protein shakes,10
723094,Female,21,7.4,Build muscle,Fresh juice,13
997421,Female,27,,Fat loss,Protein shakes,6
715270,Male,31,4.2,Build muscle,Protein shakes,9
745914,Female,39,5.3,General health,Fresh juice,6
219176,Female,21,7.199999999999999,Fat loss,Electrolyte,9
318126,Female,28,5.5,Flexibility,Protein shakes,17
318969,Male,32,7.0,Build muscle,Electrolyte,11
222409,Male,33,3.1,General health,Electrolyte,4
647707,Female,25,4.3,Endurance training,Protein shakes,9
353618,Male,27,6.7,General health,Protein shakes,11
869598,Male,37,4.2,Build muscle,Protein shakes,7
150015,Male,29,6.8999999999999995,Fat loss,Fresh juice,14
872838,Male,32,6.9,General health,Electrolyte,16
222096,Male,18,9.100000000000001,Build muscle,Protein shakes,16
731347,Male,20,6.8,Build muscle,Electrolyte,9
285340,Male,36,5.7,Fat loss,,8
210687,Male,18,8.7,Fat loss,,13
974371,Female,23,7.2,Build muscle,Fresh juice,13
511357,Female,25,5.3999999999999995,Build muscle,Protein shakes,9
835716,Male,33,4.5,Build muscle,Electrolyte,8
205878,Female,21,5.8,General health,,11
827270,Male,28,3.6,Endurance training,Electrolyte,8
298286,Female,24,8.3,General health,Electrolyte,12
873290,Female,18,5.7,Flexibility,Fresh juice,6
874684,Other,31,7.4,Fat loss,Electrolyte,12
264899,Female,25,,Build muscle,,10
424767,Female,32,5.8,Build muscle,Protein shakes,9
961882,Female,21,5.7,Build muscle,Protein shakes,7
979858,Male,22,6.5,Flexibility,Electrolyte,10
479989,Male,24,6.3,Fat loss,Fresh juice,9
515515,Female,42,5.9,Build muscle,Protein shakes,14
143585,Male,26,6.8,Build muscle,Protein shakes,9
471369,Female,30,6.7,Fat loss,Electrolyte,5
164044,Male,25,3.6,Endurance training,Protein shakes,14
542296,Male,32,6.0,Build muscle,Protein shakes,13
209556,Male,29,6.5,Flexibility,Energy drinks,12
626981,Male,33,5.5,Fat loss,Electrolyte,10
981691,Female,20,,Build muscle,Protein shakes,9
867595,Male,22,,General health,Fresh juice,10
300235,Male,34,6.7,Build muscle,Protein shakes,11
125939,Male,31,4.0,Flexibility,Electrolyte,6
252906,Male,32,5.6,Flexibility,Fresh juice,9
642335,Female,25,5.5,General health,,12
388249,Male,32,4.8,General health,Fresh juice,10
175766,Female,24,8.6,Build muscle,Electrolyte,14
508923,Female,28,4.3,Flexibility,Fresh juice,7
515192,Female,31,6.4,Fat loss,Electrolyte,8
668550,Female,20,6.5,General health,Protein shakes,13
487261,Female,21,6.5,Flexibility,Fresh juice,6
910208,Other,38,5.9,Flexibility,Fresh juice,10
785440,Male,31,,General health,Fresh juice,9
752664,Male,28,6.4,Build muscle,Fresh juice,10
554589,Male,24,4.7,Flexibility,Electrolyte,9
237848,Male,25,5.1,Endurance training,Fresh juice,9
717075,Female,25,4.5,Flexibility,Electrolyte,9
227948,Female,25,7.1,Endurance training,Electrolyte,12
679304,Male,26,6.2,Build muscle,Protein shakes,10
502690,Male,22,7.5,Build muscle,Protein shakes,11
599046,Male,25,7.8,Fat loss,Protein shakes,14
551269,Female,23,5.9,General health,Protein shakes,8
121959,Female,29,6.2,Build muscle,Fresh juice,10
760890,Male,35,6.7,Fat loss,Electrolyte,8
850216,Female,26,6.4,Build muscle,Protein shakes,8
890180,Female,21,5.7,General health,Fresh juice,12
328576,Male,25,5.8,Fat loss,Electrolyte,9
637833,Female,21,6.6,Build muscle,Protein shakes,9
265838,Female,28,5.5,Build muscle,Protein shakes,6
435674,Male,25,3.7,Build muscle,Protein shakes,9
979989,Male,32,6.0,Fat loss,Protein shakes,8
161087,Male,33,6.7,Build muscle,Electrolyte,12
693128,Male,31,6.5,Build muscle,Energy drinks,12
218451,Female,20,6.5,Flexibility,Electrolyte,13
547600,Female,20,5.6,General health,Protein shakes,10
937437,Male,19,8.2,Fat loss,Electrolyte,14
539792,Male,33,3.7,Flexibility,Fresh juice,7
139353,Male,24,7.1,Build muscle,Protein shakes,13
293075,Male,36,5.3,Endurance training,Fresh juice,6
314283,Female,35,,Endurance training,Protein shakes,9
414877,Male,24,8.3,Fat loss,Protein shakes,10
165318,Male,27,4.699999999999999,Build muscle,Fresh juice,11
865313,Male,19,5.8,Fat loss,Protein shakes,10
582690,Female,30,8.5,Fat loss,Protein shakes,14
516880,Male,35,5.0,General health,Fresh juice,13
691460,Female,22,5.3999999999999995,Build muscle,,10
840976,Male,26,5.3,Build muscle,Protein shakes,9
881239,Female,33,5.3,Build muscle,Electrolyte,11
193264,Female,19,8.3,Build muscle,Protein shakes,8
870746,Male,21,6.5,Fat loss,Energy drinks,8
913168,Male,18,6.0,Build muscle,Fresh juice,8
325281,Female,34,5.5,General health,Fresh juice,15
737147,Female,25,7.4,Build muscle,,10
998613,Male,31,5.8,Build muscle,Protein shakes,7
494070,Male,23,,Endurance training,Protein shakes,9
452228,Female,29,,Build muscle,Protein shakes,12
531839,Female,25,5.4,Endurance training,,6
369536,Male,22,7.4,Endurance training,Fresh juice,11
417824,Female,20,6.0,Build muscle,Energy drinks,7
357426,Male,32,6.1,Build muscle,Electrolyte,6
277789,Female,20,6.9,Build muscle,Energy drinks,12
613153,Male,30,7.6,Build muscle,Fresh juice,10
842452,Male,28,6.3,Build muscle,Protein shakes,12
937291,Male,27,4.0,Build muscle,Protein shakes,10
225657,Female,26,4.9,Build muscle,Protein shakes,10
335167,Male,20,6.1000000000000005,Fat loss,Protein shakes,11
781669,Male,23,5.1,Endurance training,Fresh juice,10
580671,Male,28,7.9,Fat loss,Protein shakes,13
819094,Male,33,3.8000000000000003,Build muscle,Protein shakes,7
170467,Other,22,6.5,Build muscle,Protein shakes,14
283734,Male,28,4.9,General health,Protein shakes,8
722794,Female,24,6.3999999999999995,Fat loss,Fresh juice,11
209751,Female,27,6.3,General health,Energy drinks,12
481050,Male,23,5.0,Build muscle,Protein shakes,8
911774,Male,23,6.4,Endurance training,Electrolyte,11
792517,Male,28,7.1,Fat loss,Electrolyte,8
561079,Male,23,7.2,Build muscle,Protein shakes,12
468452,Male,27,7.6,Fat loss,Fresh juice,10
206081,Male,27,6.3,Fat loss,Electrolyte,8
713333,Female,34,6.7,Build muscle,Protein shakes,8
658986,Male,39,7.0,Build muscle,Electrolyte,11
210078,Male,30,5.7,General health,,8
967055,Female,35,4.3,Flexibility,Fresh juice,7
122671,Male,20,9.5,Build muscle,,11
518400,Female,21,,Build muscle,Protein shakes,12
455528,Female,38,7.1,Build muscle,Protein shakes,15
710490,Male,32,7.2,Endurance training,Electrolyte,11
151663,Female,30,5.2,Build muscle,Protein shakes,10
115708,Male,23,5.5,Flexibility,Fresh juice,8
978338,Male,43,5.8,Build muscle,Protein shakes,8
411955,Male,23,,Build muscle,,14
233883,Male,25,5.7,Endurance training,Energy drinks,8
418394,Female,23,5.8,General health,Fresh juice,14
212547,Male,26,7.4,Fat loss,Fresh juice,10
659042,Male,29,7.5,Fat loss,Fresh juice,14
851102,Male,26,4.3,Flexibility,Fresh juice,6
862002,Female,28,7.2,Build muscle,Electrolyte,9
242483,Male,33,6.6,General health,Protein shakes,10
758271,Female,23,7.4,Build muscle,Protein shakes,14
314835,Male,26,5.7,General health,Electrolyte,8
501896,Female,25,4.6,Endurance training,Electrolyte,8
184896,Other,23,8.7,Build muscle,Electrolyte,15
577095,Female,23,,General health,Fresh juice,7
171295,Female,27,7.8,Build muscle,Protein shakes,9
843974,Male,28,6.1,Build muscle,Protein shakes,7
987121,Female,30,8.3,Fat loss,Electrolyte,14
373255,Male,26,6.1,Build muscle,,7
399648,Male,21,6.4,Endurance training,Electrolyte,11
757162,Male,30,6.5,Build muscle,Protein shakes,10
108155,Female,30,6.2,Build muscle,Protein shakes,11
566872,Male,33,6.2,Build muscle,Protein shakes,7
925816,Female,34,5.6,Build muscle,Protein shakes,14
474705,Female,30,6.0,Fat loss,Protein shakes,8
671542,Female,30,4.6,General health,Electrolyte,10
908350,Female,28,3.5,Flexibility,Fresh juice,8
710269,Female,35,4.6,General health,Electrolyte,11
654594,Other,24,6.8,Build muscle,Electrolyte,11
247718,Female,26,6.1,Fat loss,Fresh juice,12
408987,Female,29,6.7,Build muscle,Protein shakes,9
745263,Other,28,5.5,Build muscle,Electrolyte,11
458745,Female,20,7.199999999999999,Fat loss,Electrolyte,8
207512,Male,21,5.5,Build muscle,Protein shakes,10
247443,Male,29,5.800000000000001,Build muscle,Protein shakes,12
570587,Male,27,7.0,Flexibility,Energy drinks,11
473616,Male,30,6.9,Fat loss,Protein shakes,10
757409,Female,26,6.5,Fat loss,Electrolyte,10
786976,Female,25,7.0,Build muscle,Protein shakes,8
465871,Female,32,,Build muscle,Electrolyte,12
475037,Male,26,4.7,General health,Protein shakes,9
907364,Female,18,6.6,Build muscle,Electrolyte,11
217796,Female,33,4.9,Fat loss,Protein shakes,9
391999,Female,18,7.4,Build muscle,Protein shakes,12
292506,Female,34,6.800000000000001,Fat loss,Protein shakes,13
798376,Female,22,6.1,Build muscle,Electrolyte,12
369544,Male,26,4.9,General health,Protein shakes,4
480002,Female,31,4.8,General health,Fresh juice,8
798002,Male,34,4.4,General health,Protein shakes,11
639439,Male,25,5.2,Build muscle,Protein shakes,11
690978,Female,25,4.6,General health,Protein shakes,6
628787,Male,27,6.8,Fat loss,Protein shakes,8
630583,Female,29,6.3999999999999995,Build muscle,Protein shakes,14
488215,Male,24,5.4,Endurance training,Fresh juice,11
421184,Female,25,5.4,Build muscle,Electrolyte,12
898615,Male,25,6.3,Build muscle,Electrolyte,9
522515,Other,28,6.6,General health,Fresh juice,7
768234,Female,33,5.3,Build muscle,Fresh juice,10
478480,Male,33,5.199999999999999,Fat loss,Fresh juice,6
132711,Female,28,5.5,Build muscle,Protein shakes,8
891971,Other,27,3.8,General health,Protein shakes,12
601157,Male,19,7.2,Flexibility,Fresh juice,10
284423,Male,36,5.4,General health,Fresh juice,7
616349,Male,25,6.2,Build muscle,Protein shakes,9
803714,Male,21,6.5,Build muscle,Energy drinks,7
757917,Female,25,5.1,Fat loss,Energy drinks,11
924792,Female,27,7.3999999999999995,Build muscle,Protein shakes,13
837378,Male,18,7.7,Build muscle,Protein shakes,8
233272,Male,21,,Fat loss,Protein shakes,9
867836,Female,27,7.2,Fat loss,Protein shakes,10
802335,Male,23,7.4,Flexibility,Fresh juice,11
907789,Male,25,7.8999999999999995,Build muscle,Electrolyte,12
743409,Female,30,6.6,Build muscle,Electrolyte,11
177505,Female,27,4.5,Build muscle,Protein shakes,12
102869,Female,23,6.6,Flexibility,Fresh juice,9
881474,Female,28,4.3,General health,Electrolyte,4
554351,Male,21,4.9,General health,Energy drinks,8
412252,Female,22,6.2,Flexibility,Energy drinks,11
736584,Male,31,6.6,Fat loss,Electrolyte,8
718467,Male,24,8.5,Fat loss,Fresh juice,11
190272,Male,26,7.4,Build muscle,Energy drinks,7
138467,Male,21,5.7,Fat loss,Electrolyte,12
909760,Female,20,,Fat loss,,8
977844,Male,28,7.5,Fat loss,Electrolyte,15
580047,Male,26,5.9,Flexibility,Fresh juice,11
759347,Male,31,4.1,Flexibility,Energy drinks,8
158871,Male,26,6.5,General health,Electrolyte,15
228391,Female,27,5.4,General health,,11
539430,Male,31,4.4,Endurance training,Fresh juice,9
710704,Female,24,8.0,Build muscle,Electrolyte,10
956703,Male,27,6.6,Build muscle,Protein shakes,16
930496,Female,26,6.5,Endurance training,,9
356687,Female,36,6.8,General health,Fresh juice,8
825451,Male,26,6.0,Build muscle,Electrolyte,6
207450,Female,29,6.3,Flexibility,Fresh juice,12
271890,Male,32,7.7,Build muscle,Protein shakes,11
538741,Male,24,7.9,Build muscle,Protein shakes,13
381974,Other,24,6.0,Endurance training,Fresh juice,10
500109,Male,22,8.3,Build muscle,Fresh juice,9
216381,Male,27,6.0,Build muscle,Protein shakes,10
573125,Female,29,5.6,Build muscle,Electrolyte,13
671621,Male,24,5.4,General health,Energy drinks,15
234508,Female,27,7.1,Fat loss,Protein shakes,12
829650,Male,24,4.5,Endurance training,Protein shakes,10
962645,Female,18,7.5,Fat loss,Protein shakes,9
499111,Female,37,7.1,Build muscle,Electrolyte,14
250810,Female,30,5.6,Flexibility,Fresh juice,7
392890,Female,25,6.2,Build muscle,Protein shakes,13
673665,Male,23,4.8,Flexibility,Electrolyte,11
940477,Other,28,7.4,Fat loss,Protein shakes,12
460032,Male,28,5.0,Flexibility,Fresh juice,10
469599,Male,34,8.4,Build muscle,Protein shakes,10
760960,Male,23,8.3,Fat loss,Electrolyte,14
850020,Male,21,6.3,Build muscle,Protein shakes,9
979611,Male,30,7.1000000000000005,Build muscle,Protein shakes,10
271836,Female,34,6.0,Endurance training,Protein shakes,15
829903,Female,24,7.3,Build muscle,Protein shakes,12
145714,Other,23,8.0,Fat loss,Energy drinks,8
727234,Male,28,7.4,Build muscle,Electrolyte,10
996048,Female,28,6.8,Build muscle,Protein shakes,8
730271,Male,26,4.8,General health,Fresh juice,13
566960,Male,22,9.6,Fat loss,Electrolyte,14
811851,Male,34,5.7,Endurance training,Fresh juice,8
224123,Male,33,5.0,Endurance training,Protein shakes,11
405628,Female,29,5.4,General health,Fresh juice,9
182989,Female,26,3.6,Build muscle,Protein shakes,10
398356,Male,24,7.9,Endurance training,Electrolyte,13
929957,Male,28,4.6,Flexibility,Fresh juice,6
278274,Male,36,4.7,General health,Protein shakes,11
787995,Male,25,7.1,Fat loss,Electrolyte,9
425352,Other,34,7.0,Endurance training,Protein shakes,13
920260,Male,31,5.5,General health,Electrolyte,9
511927,Male,25,5.6,Endurance training,Energy drinks,12
889852,Male,22,6.0,Build muscle,Protein shakes,8
983184,Female,30,4.5,Build muscle,Energy drinks,11
231373,Other,35,4.0,General health,,7
538452,Female,26,7.2,Build muscle,Electrolyte,9
215294,Female,37,4.9,General health,Protein shakes,7
559451,Male,20,6.1,Build muscle,Protein shakes,7
748307,Male,34,7.5,Fat loss,Protein shakes,15
165726,Other,26,6.9,Build muscle,Fresh juice,16
241564,Female,37,,Build muscle,Protein shakes,12
477812,Female,20,4.6,Flexibility,Electrolyte,11
368246,Female,28,5.1,General health,Fresh juice,8
805696,Female,33,5.6,Endurance training,Electrolyte,8
218015,Female,20,8.0,Fat loss,Electrolyte,11
840674,Other,34,7.2,Endurance training,Protein shakes,9
354079,Female,23,6.1,Endurance training,Fresh juice,12
650929,Female,23,7.4,Fat loss,Protein shakes,10
789944,Female,19,7.4,Build muscle,Protein shakes,10
788105,Male,25,5.9,Endurance training,Protein shakes,9
613758,Female,27,5.9,General health,Protein shakes,13
465890,Male,29,6.3,Flexibility,Energy drinks,10
545101,Female,22,,Build muscle,Electrolyte,9
136631,Other,26,4.6,General health,Fresh juice,15
866577,Female,25,7.4,Fat loss,Fresh juice,13
172991,Male,31,8.9,Fat loss,Electrolyte,12
104014,Male,32,4.3,Build muscle,Electrolyte,9
373237,Male,37,7.199999999999999,Fat loss,Fresh juice,8
118070,Female,18,7.8999999999999995,Build muscle,Protein shakes,7
922209,Male,26,5.8,Build muscle,Fresh juice,8
156958,Male,18,7.6,General health,Electrolyte,11
182074,Male,30,3.7,General health,Electrolyte,10
635017,Female,32,8.7,Fat loss,Protein shakes,10
855073,Female,19,4.9,Flexibility,Fresh juice,8
276089,Male,23,6.8,Build muscle,Protein shakes,7
297392,Male,33,4.8,Build muscle,Protein shakes,9
258823,Male,38,5.0,Endurance training,Electrolyte,6
730152,Female,31,6.3,Build muscle,Protein shakes,10
493002,Female,35,,Build muscle,Protein shakes,11
833429,Male,31,7.2,Build muscle,Protein shakes,9
598863,Female,23,6.3999999999999995,Build muscle,Protein shakes,11
467654,Male,28,4.9,General health,Protein shakes,7
679036,Female,25,6.5,Build muscle,Protein shakes,15
630089,Male,21,8.2,Fat loss,Electrolyte,12
250262,Male,24,7.4,Build muscle,Protein shakes,9
542905,Male,31,5.3,Endurance training,Electrolyte,11
335362,Female,29,4.7,Build muscle,Protein shakes,7
544209,Female,28,3.2,General health,,8
653880,Male,28,7.5,Fat loss,Electrolyte,10
897079,Female,30,7.1,Build muscle,Electrolyte,13
764076,Female,33,6.5,Fat loss,Fresh juice,9
319963,Male,24,7.1000000000000005,Build muscle,Protein shakes,10
580761,Male,21,9.7,Fat loss,Electrolyte,11
348710,Female,29,5.7,Build muscle,Protein shakes,11
320984,Male,23,6.7,Flexibility,Fresh juice,15
997059,Male,29,6.3,Build muscle,,8
956748,Other,28,5.6,Endurance training,Protein shakes,9
882355,Male,22,9.1,Build muscle,Protein shakes,11
364512,Male,29,6.4,Build muscle,Electrolyte,10
701863,Male,33,7.8,Fat loss,Electrolyte,8
368799,Female,27,6.9,Flexibility,Fresh juice,9
337549,Male,21,6.7,Build muscle,Protein shakes,9
694319,Male,24,7.3,Build muscle,Electrolyte,12
584299,Male,28,5.5,Build muscle,Electrolyte,11
712210,Male,30,6.1,Build muscle,Protein shakes,9
548982,Male,37,7.2,Build muscle,Protein shakes,13
224046,Male,22,7.9,Fat loss,Electrolyte,10
506619,Female,26,4.9,Build muscle,Protein shakes,9
132097,Male,31,,Build muscle,Electrolyte,11
766326,Male,31,4.2,General health,Protein shakes,12
749150,Male,21,9.2,Build muscle,,10
330229,Male,28,,Build muscle,Protein shakes,12
218834,Male,27,7.300000000000001,Build muscle,Protein shakes,12
193848,Female,30,4.0,Endurance training,Fresh juice,5
152921,Male,25,5.1,Build muscle,Protein shakes,13
805086,Male,19,6.199999999999999,Fat loss,Fresh juice,9
750429,Male,27,7.0,Build muscle,Protein shakes,11
805660,Female,39,7.8,Fat loss,Electrolyte,11
384821,Female,22,7.9,Build muscle,Fresh juice,10
155609,Female,36,6.1,Endurance training,Protein shakes,8
327897,Male,22,7.2,General health,Fresh juice,11
131024,Female,31,4.3,Endurance training,Electrolyte,7
170313,Male,30,7.2,Build muscle,Protein shakes,9
489957,Male,25,5.3,Build muscle,Protein shakes,9
284078,Male,31,6.1000000000000005,Build muscle,Electrolyte,11
457429,Male,22,6.1,Build muscle,Protein shakes,14
561243,Other,29,5.6,Build muscle,Protein shakes,7
213632,Female,32,3.9,General health,Electrolyte,8
351451,Male,28,6.3999999999999995,Build muscle,Electrolyte,12
103051,Female,21,6.5,Fat loss,Electrolyte,10
804107,Other,32,7.800000000000001,Fat loss,Electrolyte,8
476836,Female,23,7.800000000000001,Fat loss,Protein shakes,11
711523,Female,35,5.4,Build muscle,Electrolyte,11
821772,Female,35,4.4,General health,Electrolyte,12
289407,Other,27,7.3999999999999995,Build muscle,Energy drinks,8
549395,Female,27,5.2,General health,Protein shakes,7
562894,Male,19,7.0,General health,Protein shakes,12
311810,Male,18,6.2,General health,Fresh juice,8
827975,Female,23,6.8,Fat loss,Fresh juice,11
173523,Male,28,5.300000000000001,Build muscle,Electrolyte,14
860463,Female,31,6.8,Build muscle,Protein shakes,7
194476,Male,39,4.8,Endurance training,Protein shakes,10
333841,Male,30,4.8999999999999995,Build muscle,Protein shakes,9
903451,Male,26,5.3,General health,Fresh juice,7
970045,Male,28,3.9,Build muscle,Fresh juice,7
322866,Other,24,5.4,Build muscle,Fresh juice,9
186672,Female,20,8.5,Build muscle,Protein shakes,12
698135,Female,25,7.0,Build muscle,Electrolyte,15
444894,Female,28,7.1,Fat loss,Fresh juice,12
